dataset,size,quality,algorithm,signal,seed,mi_value
PBMC,1000,0.0115083,SCVI,protein_counts,2303,1.68983
PBMC,1000,0.0115083,SCVI,protein_counts,2701,1.72415
PBMC,1000,0.02422,Geneformer,protein_counts,42,2.26098
PBMC,1000,0.02422,Geneformer,protein_counts,2303,2.32081
PBMC,1000,0.02422,Geneformer,protein_counts,2701,2.40661
PBMC,1000,0.02422,PCA,protein_counts,42,1.86077
PBMC,1000,0.02422,PCA,protein_counts,2303,1.77721
PBMC,1000,0.02422,PCA,protein_counts,2701,1.74808
PBMC,1000,0.02422,RandomProjection,protein_counts,42,1.01817
PBMC,1000,0.02422,RandomProjection,protein_counts,2303,1.02923
PBMC,1000,0.02422,RandomProjection,protein_counts,2701,1.01817
PBMC,1000,0.02422,SCVI,protein_counts,42,2.30099
PBMC,1000,0.02422,SCVI,protein_counts,2303,2.19415
PBMC,1000,0.02422,SCVI,protein_counts,2701,2.18957
PBMC,1000,0.050973,Geneformer,protein_counts,42,2.67776
PBMC,1000,0.050973,Geneformer,protein_counts,2303,2.77168
PBMC,1000,0.050973,Geneformer,protein_counts,2701,2.80648
PBMC,1000,0.050973,PCA,protein_counts,42,2.21274
PBMC,1000,0.050973,PCA,protein_counts,2303,2.19709
PBMC,1000,0.050973,PCA,protein_counts,2701,2.27499
PBMC,1000,0.050973,RandomProjection,protein_counts,42,1.46463
PBMC,1000,0.050973,RandomProjection,protein_counts,2303,1.47537
PBMC,1000,0.050973,RandomProjection,protein_counts,2701,1.46463
PBMC,1000,0.050973,SCVI,protein_counts,42,2.82736
PBMC,1000,0.050973,SCVI,protein_counts,2303,2.78748
PBMC,1000,0.050973,SCVI,protein_counts,2701,2.87518
PBMC,1000,0.1072766,Geneformer,protein_counts,42,2.83137
